2026-03-26 11:12:26,547 | INFO | rag_pipeline | Logger initialisé avec succès
2026-03-26 11:28:24,845 | INFO | rag_pipeline | Logger initialisé avec succès
2026-03-26 11:29:07,733 | INFO | rag_pipeline | Logger initialisé avec succès
2026-03-26 11:29:07,756 | INFO | rag_pipeline | ✅ Dataset chargé : 19 questions
2026-03-26 11:29:07,791 | INFO | rag_pipeline | ✅ Index FAISS chargé (305 vecteurs)
2026-03-26 11:29:08,841 | INFO | rag_pipeline | Top 3 documents récupérés
2026-03-26 11:29:08,841 | INFO | rag_pipeline | 2 documents après déduplication
2026-03-26 11:29:10,673 | INFO | rag_pipeline | Question ID 1 -> Success: True
2026-03-26 11:29:11,495 | INFO | rag_pipeline | Top 3 documents récupérés
2026-03-26 11:29:11,495 | INFO | rag_pipeline | 3 documents après déduplication
2026-03-26 11:29:14,770 | INFO | rag_pipeline | Question ID 2 -> Success: True
2026-03-26 11:29:15,122 | INFO | rag_pipeline | Top 3 documents récupérés
2026-03-26 11:29:15,122 | INFO | rag_pipeline | 2 documents après déduplication
2026-03-26 11:29:17,714 | INFO | rag_pipeline | Question ID 3 -> Success: True
2026-03-26 11:29:18,067 | INFO | rag_pipeline | Top 3 documents récupérés
2026-03-26 11:29:18,079 | INFO | rag_pipeline | 2 documents après déduplication
2026-03-26 11:29:20,344 | INFO | rag_pipeline | Question ID 4 -> Success: True
2026-03-26 11:29:20,782 | INFO | rag_pipeline | Top 3 documents récupérés
2026-03-26 11:29:20,782 | INFO | rag_pipeline | 3 documents après déduplication
2026-03-26 11:29:22,778 | INFO | rag_pipeline | Question ID 5 -> Success: True
2026-03-26 11:29:23,149 | INFO | rag_pipeline | Top 3 documents récupérés
2026-03-26 11:29:23,149 | INFO | rag_pipeline | 2 documents après déduplication
2026-03-26 11:29:25,363 | INFO | rag_pipeline | Question ID 6 -> Success: True
2026-03-26 11:29:25,742 | INFO | rag_pipeline | Top 3 documents récupérés
2026-03-26 11:29:25,742 | INFO | rag_pipeline | 3 documents après déduplication
2026-03-26 11:29:28,045 | INFO | rag_pipeline | Question ID 7 -> Success: True
2026-03-26 11:29:28,351 | INFO | rag_pipeline | Top 3 documents récupérés
2026-03-26 11:29:28,353 | INFO | rag_pipeline | 3 documents après déduplication
2026-03-26 11:29:30,353 | INFO | rag_pipeline | Question ID 8 -> Success: True
2026-03-26 11:29:30,664 | INFO | rag_pipeline | Top 3 documents récupérés
2026-03-26 11:29:30,664 | INFO | rag_pipeline | 2 documents après déduplication
2026-03-26 11:29:33,126 | INFO | rag_pipeline | Question ID 9 -> Success: True
2026-03-26 11:29:33,473 | INFO | rag_pipeline | Top 3 documents récupérés
2026-03-26 11:29:33,483 | INFO | rag_pipeline | 2 documents après déduplication
